City_Name,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
mataura,-46.19,168.86,58.95,74.0,83.0,2.93,NZ,1588477503.0
butaritari,3.07,172.79,83.35,81.0,32.0,14.79,KI,1588477241.0
san quintin,30.48,-115.95,64.45,77.0,0.0,14.63,MX,1588477261.0
georgetown,5.41,100.34,89.6,70.0,20.0,5.82,MY,1588477391.0
homer,59.64,-151.55,51.8,53.0,40.0,8.05,US,1588477462.0
barsi,18.23,75.7,96.78,18.0,7.0,14.29,IN,1588477504.0
bluff,-46.6,168.33,58.19,72.0,100.0,9.1,NZ,1588477504.0
guerrero negro,27.98,-114.06,63.99,83.0,0.0,16.93,MX,1588477504.0
yumen,40.28,97.2,70.0,20.0,99.0,25.26,CN,1588477320.0
pevek,69.7,170.31,31.39,93.0,2.0,3.98,RU,1588477504.0
ushuaia,-54.8,-68.3,40.1,83.0,33.0,4.47,AR,1588477504.0
yaan,7.38,8.57,78.15,84.0,86.0,7.94,NG,1588477505.0
faanui,-16.48,-151.75,82.15,78.0,79.0,14.74,PF,1588477505.0
victoria,22.29,114.16,86.0,62.0,20.0,10.29,HK,1588477368.0
fayetteville,35.05,-78.88,66.99,63.0,1.0,4.7,US,1588477339.0
na klang,17.31,102.19,95.0,52.0,20.0,3.36,TH,1588477506.0
klaksvik,62.23,-6.59,39.2,69.0,84.0,12.75,FO,1588477506.0
saint-philippe,-21.36,55.77,75.2,68.0,37.0,4.7,RE,1588477223.0
kyshtovka,56.55,76.63,49.46,69.0,89.0,10.25,RU,1588477506.0
busselton,-33.65,115.33,79.0,32.0,0.0,17.96,AU,1588477506.0
santa lucia,27.91,-15.54,64.4,88.0,20.0,2.24,ES,1588477506.0
albany,42.6,-73.97,59.0,63.0,82.0,4.09,US,1588477242.0
jamestown,42.1,-79.24,60.8,55.0,75.0,11.41,US,1588477507.0
kapaa,22.08,-159.32,78.8,65.0,20.0,18.34,US,1588477507.0
vaini,-21.2,-175.2,80.6,78.0,20.0,9.17,TO,1588477507.0
lebu,-37.62,-73.65,53.83,86.0,61.0,3.94,CL,1588477507.0
cherskiy,68.75,161.3,34.52,96.0,90.0,2.8,RU,1588477310.0
lokosovo,61.13,74.82,39.42,75.0,92.0,9.48,RU,1588477508.0
comodoro rivadavia,-45.87,-67.5,51.8,76.0,0.0,9.93,AR,1588477415.0
rikitea,-23.12,-134.97,75.81,74.0,58.0,13.65,PF,1588477508.0
whithorn,18.26,-78.04,82.4,78.0,40.0,4.7,JM,1588477508.0
gushikawa,26.35,127.87,78.8,88.0,75.0,14.99,JP,1588477508.0
fortuna,40.6,-124.16,54.0,87.0,1.0,3.36,US,1588477509.0
pangody,65.85,74.49,29.43,97.0,100.0,5.77,RU,1588477509.0
okato,-39.2,173.88,63.0,93.0,100.0,20.0,NZ,1588477297.0
dickson,36.08,-87.39,69.8,60.0,1.0,8.05,US,1588477509.0
punta arenas,-53.15,-70.92,39.2,86.0,40.0,8.05,CL,1588477509.0
puerto ayora,-0.74,-90.35,78.01,90.0,39.0,4.0,EC,1588477510.0
acapulco,16.86,-99.89,78.8,88.0,20.0,3.65,MX,1588477510.0
ponta do sol,32.67,-17.1,66.2,68.0,40.0,13.87,PT,1588477510.0
hobart,-42.88,147.33,55.99,50.0,75.0,11.41,AU,1588477211.0
da nang,16.07,108.22,89.6,66.0,20.0,4.7,VN,1588477510.0
tuktoyaktuk,69.45,-133.04,10.4,85.0,90.0,18.34,CA,1588477510.0
la libertad,-2.23,-80.9,74.88,80.0,5.0,7.83,EC,1588477511.0
upernavik,72.79,-56.15,23.25,97.0,100.0,15.82,GL,1588477511.0
new norfolk,-42.78,147.06,55.99,71.0,96.0,1.01,AU,1588477511.0
katsuura,35.13,140.3,80.01,57.0,74.0,20.8,JP,1588477511.0
kavaratti,10.57,72.64,87.8,70.0,20.0,5.82,IN,1588477511.0
esperance,-33.87,121.9,75.2,29.0,0.0,18.34,AU,1588477512.0
qaanaaq,77.48,-69.36,14.07,83.0,0.0,3.56,GL,1588477512.0
kebumen,-7.67,109.65,88.38,61.0,100.0,4.27,ID,1588477512.0
la ronge,55.1,-105.28,35.6,80.0,40.0,3.36,CA,1588477512.0
loudon,35.73,-84.33,64.4,68.0,1.0,4.7,US,1588477463.0
viedma,-40.81,-63.0,58.17,68.0,100.0,15.68,AR,1588477512.0
sal rei,16.18,-22.92,69.8,94.0,75.0,13.87,CV,1588477513.0
barrow,71.29,-156.79,17.6,78.0,75.0,5.82,US,1588477513.0
beloha,-25.17,45.05,64.18,80.0,0.0,3.22,MG,1588477513.0
avarua,-21.21,-159.78,80.6,78.0,100.0,14.99,CK,1588477513.0
geraldton,-28.77,114.6,78.8,24.0,0.0,9.17,AU,1588477357.0
bambanglipuro,-7.95,110.28,87.82,60.0,100.0,7.18,ID,1588477514.0
biltine,14.53,20.92,82.4,12.0,61.0,10.09,TD,1588477514.0
santa rosa,14.31,121.11,88.0,79.0,75.0,3.36,PH,1588477514.0
coquimbo,-29.95,-71.34,57.2,82.0,84.0,2.66,CL,1588477515.0
port elizabeth,-33.92,25.57,64.4,82.0,58.0,17.22,ZA,1588477515.0
port augusta,-32.5,137.77,60.8,63.0,62.0,8.05,AU,1588477515.0
carnarvon,-24.87,113.63,78.8,65.0,0.0,9.17,AU,1588477515.0
carballo,43.21,-8.69,54.0,85.0,77.0,3.02,ES,1588477515.0
arraial do cabo,-22.97,-42.03,72.28,79.0,95.0,17.94,BR,1588477516.0
provideniya,64.38,-173.3,33.53,85.0,6.0,3.49,RU,1588477516.0
margate,51.38,1.39,48.99,71.0,99.0,1.99,GB,1588477516.0
atuona,-9.8,-139.03,82.08,77.0,50.0,21.23,PF,1588477516.0
adre,13.47,22.2,71.17,16.0,13.0,4.76,TD,1588477516.0
tiksi,71.69,128.87,15.84,91.0,0.0,6.87,RU,1588477517.0
maniitsoq,65.42,-52.9,33.19,95.0,100.0,18.99,GL,1588477517.0
khandyga,62.67,135.6,33.28,80.0,93.0,10.33,RU,1588477517.0
kailua,21.4,-157.74,80.6,61.0,40.0,16.11,US,1588477517.0
portland,45.52,-122.68,53.01,79.0,16.0,5.53,US,1588477367.0
fiche,9.8,38.73,54.82,38.0,88.0,1.32,ET,1588477517.0
mahebourg,-20.41,57.7,73.4,94.0,75.0,9.17,MU,1588477518.0
bredasdorp,-34.53,20.04,60.8,93.0,85.0,3.36,ZA,1588477518.0
bubaque,11.28,-15.83,78.01,77.0,0.0,10.63,GW,1588477518.0
churapcha,62.0,132.43,35.11,74.0,0.0,13.31,RU,1588477518.0
hualmay,-11.1,-77.61,67.84,84.0,66.0,6.2,PE,1588477519.0
wanaka,-44.7,169.15,51.4,71.0,97.0,4.7,NZ,1588477519.0
iqaluit,63.75,-68.51,15.8,85.0,75.0,20.8,CA,1588477363.0
broome,42.25,-75.83,55.99,54.0,90.0,5.82,US,1588477519.0
kilrush,52.64,-9.48,48.2,81.0,75.0,4.7,IE,1588477520.0
todos santos,23.45,-110.22,64.0,85.0,100.0,1.01,MX,1588477520.0
ust-nera,64.57,143.2,30.92,78.0,100.0,10.76,RU,1588477520.0
lake havasu city,34.48,-114.32,86.0,11.0,1.0,8.05,US,1588477520.0
bilibino,68.05,166.44,32.77,81.0,17.0,2.15,RU,1588477521.0
emmett,43.87,-116.5,71.6,21.0,88.0,4.7,US,1588477493.0
hilo,19.73,-155.09,80.6,57.0,90.0,6.93,US,1588477521.0
yinchuan,38.47,106.27,76.26,17.0,70.0,14.63,CN,1588477521.0
mount gambier,-37.83,140.77,55.4,66.0,90.0,10.29,AU,1588477522.0
mar del plata,-38.0,-57.56,61.0,87.0,100.0,5.82,AR,1588477476.0
kodiak,57.79,-152.41,55.4,35.0,40.0,11.41,US,1588477522.0
mikhaylovsk,45.13,42.03,53.6,93.0,90.0,2.24,RU,1588477522.0
kruisfontein,-34.0,24.73,60.48,81.0,33.0,13.06,ZA,1588477260.0
muros,42.78,-9.06,54.0,95.0,97.0,4.27,ES,1588477523.0
bustamante,26.53,-100.5,81.46,47.0,84.0,11.14,MX,1588477523.0
tokur,53.13,132.9,36.27,57.0,62.0,8.72,RU,1588477523.0
torrington,41.8,-73.12,57.0,73.0,60.0,1.45,US,1588477523.0
lazaro cardenas,17.96,-102.2,75.49,77.0,0.0,1.95,MX,1588477523.0
torbay,47.67,-52.73,44.6,100.0,90.0,26.4,CA,1588477524.0
itoman,26.12,127.67,78.8,94.0,75.0,12.75,JP,1588477524.0
alofi,-19.06,-169.92,80.6,83.0,27.0,9.17,NU,1588477524.0
pyapon,16.28,95.68,92.88,46.0,58.0,5.35,MM,1588477524.0
naze,28.37,129.48,73.4,94.0,75.0,14.99,JP,1588477524.0
hermanus,-34.42,19.23,61.74,84.0,60.0,8.97,ZA,1588477525.0
thompson,55.74,-97.86,26.6,53.0,75.0,9.17,CA,1588477394.0
cabo san lucas,22.89,-109.91,80.6,14.0,40.0,14.54,MX,1588477486.0
saskylakh,71.92,114.08,21.24,94.0,10.0,6.17,RU,1588477525.0
castro,-24.79,-50.01,51.3,71.0,2.0,4.88,BR,1588477526.0
havoysund,71.0,24.66,37.4,74.0,99.0,19.46,NO,1588477526.0
nanakuli,21.39,-158.15,80.6,61.0,75.0,13.87,US,1588477526.0
paris,48.85,2.35,53.01,66.0,99.0,4.7,FR,1588477505.0
kankon,15.02,74.02,86.0,74.0,40.0,8.05,IN,1588477527.0
dikson,73.51,80.55,18.39,96.0,88.0,7.65,RU,1588477527.0
port hardy,50.7,-127.42,48.2,76.0,75.0,8.05,CA,1588477528.0
gombe,10.29,11.17,82.0,62.0,92.0,12.5,NG,1588477528.0
fort nelson,58.81,-122.7,64.4,39.0,75.0,11.41,CA,1588477528.0
mandalgovi,45.76,106.27,54.9,20.0,0.0,3.56,MN,1588477237.0
la orilla,17.98,-102.23,74.88,77.0,0.0,1.63,MX,1588477529.0
lorengau,-2.02,147.27,84.56,75.0,48.0,0.87,PG,1588477529.0
wanning,18.8,110.4,86.07,66.0,60.0,11.23,CN,1588477530.0
chokurdakh,70.63,147.92,16.09,95.0,100.0,5.03,RU,1588477530.0
xai-xai,-25.05,33.64,64.53,95.0,13.0,6.15,MZ,1588477530.0
tasiilaq,65.61,-37.64,32.0,97.0,100.0,9.17,GL,1588477530.0
ndele,8.41,20.65,76.75,58.0,68.0,7.36,CF,1588477531.0
touros,-5.2,-35.46,77.0,94.0,20.0,3.36,BR,1588477531.0
cape town,-33.93,18.42,64.99,93.0,75.0,9.17,ZA,1588477531.0
maceio,-9.67,-35.74,73.4,100.0,26.0,3.36,BR,1588477531.0
hithadhoo,-0.6,73.08,85.06,74.0,95.0,9.93,MV,1588477531.0
kjollefjord,70.95,27.35,34.0,89.0,98.0,13.4,NO,1588477532.0
requena,39.49,-1.1,55.0,70.0,58.0,3.09,ES,1588477532.0
okha,53.57,142.95,35.17,81.0,99.0,33.71,RU,1588477532.0
