,City_Name,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,mataura,-46.19,168.86,58.95,74,83,2.93,NZ,1588477503
1,butaritari,3.07,172.79,83.35,81,32,14.79,KI,1588477241
2,san quintin,30.48,-115.95,64.45,77,0,14.63,MX,1588477261
3,georgetown,5.41,100.34,89.6,70,20,5.82,MY,1588477391
4,homer,59.64,-151.55,51.8,53,40,8.05,US,1588477462
5,barsi,18.23,75.7,96.78,18,7,14.29,IN,1588477504
6,bluff,-46.6,168.33,58.19,72,100,9.1,NZ,1588477504
7,guerrero negro,27.98,-114.06,63.99,83,0,16.93,MX,1588477504
8,yumen,40.28,97.2,70,20,99,25.26,CN,1588477320
9,pevek,69.7,170.31,31.39,93,2,3.98,RU,1588477504
10,ushuaia,-54.8,-68.3,40.1,83,33,4.47,AR,1588477504
11,yaan,7.38,8.57,78.15,84,86,7.94,NG,1588477505
12,faanui,-16.48,-151.75,82.15,78,79,14.74,PF,1588477505
13,taolanaro,,,,,,,,
14,victoria,22.29,114.16,86,62,20,10.29,HK,1588477368
15,fayetteville,35.05,-78.88,66.99,63,1,4.7,US,1588477339
16,na klang,17.31,102.19,95,52,20,3.36,TH,1588477506
17,klaksvik,62.23,-6.59,39.2,69,84,12.75,FO,1588477506
18,saint-philippe,-21.36,55.77,75.2,68,37,4.7,RE,1588477223
19,kyshtovka,56.55,76.63,49.46,69,89,10.25,RU,1588477506
20,busselton,-33.65,115.33,79,32,0,17.96,AU,1588477506
21,santa lucia,27.91,-15.54,64.4,88,20,2.24,ES,1588477506
22,albany,42.6,-73.97,59,63,82,4.09,US,1588477242
23,jamestown,42.1,-79.24,60.8,55,75,11.41,US,1588477507
24,kapaa,22.08,-159.32,78.8,65,20,18.34,US,1588477507
25,vaini,-21.2,-175.2,80.6,78,20,9.17,TO,1588477507
26,lebu,-37.62,-73.65,53.83,86,61,3.94,CL,1588477507
27,cherskiy,68.75,161.3,34.52,96,90,2.8,RU,1588477310
28,lokosovo,61.13,74.82,39.42,75,92,9.48,RU,1588477508
29,comodoro rivadavia,-45.87,-67.5,51.8,76,0,9.93,AR,1588477415
30,rikitea,-23.12,-134.97,75.81,74,58,13.65,PF,1588477508
31,whithorn,18.26,-78.04,82.4,78,40,4.7,JM,1588477508
32,gushikawa,26.35,127.87,78.8,88,75,14.99,JP,1588477508
33,fortuna,40.6,-124.16,54,87,1,3.36,US,1588477509
34,pangody,65.85,74.49,29.43,97,100,5.77,RU,1588477509
35,okato,-39.2,173.88,63,93,100,20,NZ,1588477297
36,dickson,36.08,-87.39,69.8,60,1,8.05,US,1588477509
37,punta arenas,-53.15,-70.92,39.2,86,40,8.05,CL,1588477509
38,puerto ayora,-0.74,-90.35,78.01,90,39,4,EC,1588477510
39,acapulco,16.86,-99.89,78.8,88,20,3.65,MX,1588477510
40,ponta do sol,32.67,-17.1,66.2,68,40,13.87,PT,1588477510
41,hobart,-42.88,147.33,55.99,50,75,11.41,AU,1588477211
42,da nang,16.07,108.22,89.6,66,20,4.7,VN,1588477510
43,tuktoyaktuk,69.45,-133.04,10.4,85,90,18.34,CA,1588477510
